,Restaurant Count,FIPS,Year
0,2,17009,2011
1,23,17055,2011
2,11,17181,2011
3,7,17187,2011
4,3,17139,2011
5,321,17089,2011
6,9,17033,2011
7,11,17083,2011
8,23,17075,2011
9,25,17073,2011
10,11,17023,2011
11,9,17051,2011
12,7,17005,2011
13,44,17183,2011
14,23,17137,2011
15,10,17125,2011
16,60,17093,2011
17,17,17165,2011
18,6,17131,2011
19,67,17099,2011
20,42,17029,2011
21,0,17151,2011
22,9,17193,2011
23,26,17007,2011
24,5,17123,2011
25,2,17171,2011
26,18,17103,2011
27,9,17039,2011
28,7,17127,2011
29,10,17045,2011
30,16,17107,2011
31,86,17179,2011
32,22,17117,2011
33,19,17135,2011
34,2,17153,2011
35,1,17071,2011
36,4106,17031,2011
37,36,17095,2011
38,6,17173,2011
39,7,17047,2011
40,530,17097,2011
41,159,17167,2011
42,6,17101,2011
43,14,17159,2011
44,182,17119,2011
45,9,17185,2011
46,195,17201,2011
47,0,17059,2011
48,29,17141,2011
49,0,17069,2011
50,35,17049,2011
51,1,17013,2011
52,198,17111,2011
53,21,17105,2011
54,9,17011,2011
55,74,17037,2011
56,18,17157,2011
57,2,17129,2011
58,17,17133,2011
59,29,17177,2011
60,838,17043,2011
61,7,17191,2011
62,116,17143,2011
63,12,17085,2011
64,5,17061,2011
65,26,17121,2011
66,61,17115,2011
67,441,17197,2011
68,158,17019,2011
69,3,17035,2011
70,0,17003,2011
71,31,17001,2011
72,5,29157,2011
73,31,17195,2011
74,111,17113,2011
75,21,17027,2011
76,36,17077,2011
77,7,17149,2011
78,42,17199,2011
79,15,17041,2011
80,10,17053,2011
81,11,17015,2011
82,8,17067,2011
83,5,17079,2011
84,17,17021,2011
85,5,17147,2011
86,23,17081,2011
87,28,17109,2011
88,3,17169,2011
89,33,17063,2011
90,7,17017,2011
91,0,17175,2011
92,6,17065,2011
93,75,17091,2011
94,109,17161,2011
95,169,17163,2011
96,0,17155,2011
97,7,17189,2011
98,8,17025,2011
99,6,17087,2011
100,19,17057,2011
101,17,17203,2011
102,4,17009,2016
103,23,17055,2016
104,16,17181,2016
105,8,17187,2016
106,3,17139,2016
107,333,17089,2016
108,14,17033,2016
109,14,17083,2016
110,17,17075,2016
111,23,17073,2016
112,13,17023,2016
113,11,17051,2016
114,9,17005,2016
115,46,17183,2016
116,22,17137,2016
117,8,17125,2016
118,76,17093,2016
119,20,17165,2016
120,4,17131,2016
121,73,17099,2016
122,44,17029,2016
123,0,17151,2016
124,9,17193,2016
125,27,17007,2016
126,6,17123,2016
127,1,17171,2016
128,14,17103,2016
129,11,17039,2016
130,6,17127,2016
131,12,17045,2016
132,14,17107,2016
133,107,17179,2016
134,22,17117,2016
135,22,17135,2016
136,1,17153,2016
137,3,17071,2016
138,4642,17031,2016
139,38,17095,2016
140,7,17173,2016
141,4,17047,2016
142,567,17097,2016
143,171,17167,2016
144,5,17101,2016
145,13,17159,2016
146,180,17119,2016
147,9,17185,2016
148,213,17201,2016
149,0,17059,2016
150,32,17141,2016
151,0,17069,2016
152,41,17049,2016
153,1,17013,2016
154,231,17111,2016
155,22,17105,2016
156,12,17011,2016
157,81,17037,2016
158,18,17157,2016
159,3,17129,2016
160,20,17133,2016
161,23,17177,2016
162,875,17043,2016
163,6,17191,2016
164,134,17143,2016
165,11,17085,2016
166,6,17061,2016
167,26,17121,2016
168,68,17115,2016
169,501,17197,2016
170,184,17019,2016
171,3,17035,2016
172,1,17003,2016
173,34,17001,2016
174,11,29157,2016
175,33,17195,2016
176,140,17113,2016
177,17,17027,2016
178,44,17077,2016
179,6,17149,2016
180,48,17199,2016
181,18,17041,2016
182,8,17053,2016
183,11,17015,2016
184,10,17067,2016
185,6,17079,2016
186,16,17021,2016
187,6,17147,2016
188,31,17081,2016
189,23,17109,2016
190,3,17169,2016
191,41,17063,2016
192,7,17017,2016
193,0,17175,2016
194,3,17065,2016
195,78,17091,2016
196,111,17161,2016
197,196,17163,2016
198,0,17155,2016
199,9,17189,2016
200,9,17025,2016
201,4,17087,2016
202,20,17057,2016
203,18,17203,2016
204,36,17001,2021
205,8,17005,2021
206,21,17007,2021
207,3,17009,2021
208,12,17011,2021
209,4,17015,2021
210,2,17017,2021
211,137,17019,2021
212,13,17021,2021
213,16,17023,2021
214,5,17025,2021
215,13,17027,2021
216,30,17029,2021
217,2889,17031,2021
218,6,17033,2021
219,3,17035,2021
220,66,17037,2021
221,11,17039,2021
222,16,17041,2021
223,718,17043,2021
224,7,17045,2021
225,3,17047,2021
226,27,17049,2021
227,14,17051,2021
228,7,17053,2021
229,23,17055,2021
230,11,17057,2021
231,1,17061,2021
232,40,17063,2021
233,3,17065,2021
234,7,17067,2021
235,20,17073,2021
236,12,17075,2021
237,41,17077,2021
238,4,17079,2021
239,36,17081,2021
240,6,17083,2021
241,12,17085,2021
242,6,17087,2021
243,258,17089,2021
244,73,17091,2021
245,77,17093,2021
246,26,17095,2021
247,430,17097,2021
248,71,17099,2021
249,5,17101,2021
250,15,17103,2021
251,18,17105,2021
252,13,17107,2021
253,17,17109,2021
254,186,17111,2021
255,115,17113,2021
256,58,17115,2021
257,12,17117,2021
258,178,17119,2021
259,21,17121,2021
260,4,17123,2021
261,5,17125,2021
262,6,17127,2021
263,2,17129,2021
264,1,17131,2021
265,18,17133,2021
266,26,17135,2021
267,19,17137,2021
268,3,17139,2021
269,20,17141,2021
270,107,17143,2021
271,10,17145,2021
272,5,17147,2021
273,5,17149,2021
274,2,17153,2021
275,16,17157,2021
276,5,17159,2021
277,84,17161,2021
278,161,17163,2021
279,14,17165,2021
280,144,17167,2021
281,4,17169,2021
282,1,17171,2021
283,8,17173,2021
284,19,17177,2021
285,74,17179,2021
286,9,17181,2021
287,40,17183,2021
288,6,17185,2021
289,7,17187,2021
290,8,17189,2021
291,5,17191,2021
292,4,17193,2021
293,26,17195,2021
294,366,17197,2021
295,38,17199,2021
296,195,17201,2021
297,14,17203,2021
